candidate,family,description,behavior,n,ann_ret,sharpe,t_ret,lambda_ann_fmb,t_fmb,lambda_ann_gx_obs,t_gx_obs,lambda_ann_gx_full,t_gx_full,k_hidden,max_abs_corr_to_09,nearest_09_factor,passes_t2,passes_t165
upfreq_1w__low_minus_high,upfreq,"upfreq_1w, low minus high",trend consistency and representativeness,263,-0.3513130856524362,-1.0664500788159457,-2.3334969441757925,-0.24904540239138223,-0.4379489378257029,0.06390244537759146,0.31769171580742167,0.11986529026709243,0.6507992934318569,2,0.3702294135130252,RMOM1w,False,False
upfreq_26w__low_minus_high,upfreq,"upfreq_26w, low minus high",trend consistency and representativeness,263,-0.06359779671151193,-0.1417318766152044,-0.29100721460598494,0.6355603639205338,0.957521737713539,0.5406844318280724,1.2548435102621738,0.20525527538165456,0.5678861910280217,2,0.38142707534287057,VolC,False,False
upfreq_26w__high_minus_low,upfreq,"upfreq_26w, high minus low",trend consistency and representativeness,263,0.06359779671151193,0.1417318766152044,0.29100721460598494,-0.6355603639205338,-0.957521737713539,-0.5406844318280724,-1.2548435102621738,-0.20525527538165456,-0.5678861910280217,2,0.38142707534287057,VolC,False,False
mcap_chg_2w__low_minus_high,mcap,"mcap_chg_2w, low minus high",underreaction or reversal to recent performance,263,-0.3177015214827614,-0.7769529049410706,-1.5643206627772757,-0.8458204034339702,-1.6341644364873074,-0.3868248067854719,-1.8215761033189217,-0.15611335662225775,-0.527197387923274,2,0.6738086360486573,RMOM2w,False,False
mcap_chg_2w__high_minus_low,mcap,"mcap_chg_2w, high minus low",underreaction or reversal to recent performance,263,0.3177015214827614,0.7769529049410706,1.5643206627772757,0.8458204034339702,1.6341644364873074,0.3868248067854719,1.8215761033189217,0.15611335662225775,0.527197387923274,2,0.6738086360486573,RMOM2w,False,False
ret_52w__low_minus_high,ret,"ret_52w, low minus high",underreaction or reversal to recent performance,263,0.018793757818151995,0.045384774527396206,0.11657802467574963,0.49193251134110183,0.7748883648794525,0.053526003577515975,0.1289109194023926,0.23995923871077224,0.4350667814140404,2,0.2635612011850097,SMBC,False,False
ret_52w__high_minus_low,ret,"ret_52w, high minus low",underreaction or reversal to recent performance,263,-0.018793757818151995,-0.045384774527396206,-0.11657802467574963,-0.49193251134110183,-0.7748883648794525,-0.053526003577515975,-0.1289109194023926,-0.23995923871077224,-0.4350667814140404,2,0.2635612011850097,SMBC,False,False
ret_3w__low_minus_high,ret,"ret_3w, low minus high",underreaction or reversal to recent performance,263,-0.34249376479937804,-0.8332502804269707,-1.7615370004802735,-0.7637094267648725,-1.679514306510526,-0.4054679931031664,-2.1071395013820284,-0.10388285969385774,-0.313915958099818,2,0.7922672344394196,MomC,False,False
ret_3w__high_minus_low,ret,"ret_3w, high minus low",underreaction or reversal to recent performance,263,0.34249376479937804,0.8332502804269707,1.7615370004802735,0.7637094267648725,1.679514306510526,0.4054679931031664,2.1071395013820284,0.10388285969385774,0.313915958099818,2,0.7922672344394196,MomC,False,False
price_to_high_3w__high_minus_low,price,"price_to_high_3w, high minus low",distance from recent high; anchoring to prior peak,263,0.2869780025643887,0.7641334698542609,1.7257207953395153,0.3640557568418758,0.6209168032888633,-0.17135591393874208,-0.416700770463606,-0.09449507299273116,-0.19748190751318334,2,0.4578973606805778,RMOM1w,False,False
price_to_high_3w__low_minus_high,price,"price_to_high_3w, low minus high",distance from recent high; anchoring to prior peak,263,-0.2869780025643887,-0.7641334698542609,-1.7257207953395153,-0.3640557568418758,-0.6209168032888633,0.17135591393874208,0.416700770463606,0.09449507299273116,0.19748190751318334,2,0.4578973606805778,RMOM1w,False,False
mcap_chg_52w__low_minus_high,mcap,"mcap_chg_52w, low minus high",underreaction or reversal to recent performance,263,0.06346435044463497,0.15500703472201127,0.3971307790198865,0.35900691246986083,0.5816774261647902,-0.15857714607785253,-0.41600119418016596,-0.045164302914035094,-0.07962724514751682,2,0.23894647140102984,SMBC,False,False
mcap_chg_52w__high_minus_low,mcap,"mcap_chg_52w, high minus low",underreaction or reversal to recent performance,263,-0.06346435044463497,-0.15500703472201127,-0.3971307790198865,-0.35900691246986083,-0.5816774261647902,0.15857714607785253,0.41600119418016596,0.045164302914035094,0.07962724514751682,2,0.23894647140102984,SMBC,False,False
corr_mkt_52w__high_minus_low,corr,"corr_mkt_52w, high minus low",high market crowding/herding,211,0.2002881289493621,0.6439634251879818,1.4287441328924866,0.13479891340544645,0.29635879779902086,-0.17981705508825432,-0.6458320353814778,0.02319027892754838,0.07120603972460565,2,0.19347792937057856,FunC,False,False
corr_mkt_52w__low_minus_high,corr,"corr_mkt_52w, low minus high",low market crowding/herding,211,-0.2002881289493621,-0.6439634251879818,-1.4287441328924866,-0.13479891340544645,-0.29635879779902086,0.17981705508825432,0.6458320353814778,-0.02319027892754838,-0.07120603972460565,2,0.19347792937057856,FunC,False,False
ret_2w__low_minus_high,ret,"ret_2w, low minus high",underreaction or reversal to recent performance,263,-0.34645272201846306,-0.8670399327803366,-1.8608825706519796,-0.7347772152269021,-1.5487264836565826,-0.23212353846048803,-1.060770924411163,0.009569794534585464,0.031556728210436764,2,0.6899971298427943,RMOM2w,False,False
ret_2w__high_minus_low,ret,"ret_2w, high minus low",underreaction or reversal to recent performance,263,0.34645272201846306,0.8670399327803366,1.8608825706519796,0.7347772152269021,1.5487264836565826,0.23212353846048803,1.060770924411163,-0.009569794534585464,-0.031556728210436764,2,0.6899971298427943,RMOM2w,False,False
mcap_chg_4w__low_minus_high,mcap,"mcap_chg_4w, low minus high",underreaction or reversal to recent performance,263,-0.23051347024195254,-0.6168355634152642,-1.391892775717755,-0.6988582647298862,-1.4256288085724282,-0.08734148067303664,-0.3815465438291535,-0.004742377564219314,-0.012162807846600695,2,0.9643891044763754,MomC,False,False
mcap_chg_4w__high_minus_low,mcap,"mcap_chg_4w, high minus low",underreaction or reversal to recent performance,263,0.23051347024195254,0.6168355634152642,1.391892775717755,0.6988582647298862,1.4256288085724282,0.08734148067303664,0.3815465438291535,0.004742377564219314,0.012162807846600695,2,0.9643891044763754,MomC,False,False
