week,symbol,cluster_id,w_fast,w_slow,w
2018-12-03,ADA,,-0.05,0.05,-0.01599962262702377
2018-12-03,BNB,,0.0,-0.05,-0.011999716970267828
2018-12-03,BTC,,0.05,-0.05,0.01599962262702377
2018-12-03,ETC,,-0.05,0.0,-0.0279993395972916
2018-12-03,ETH,,0.05,-0.05,0.01599962262702377
2018-12-03,LTC,,0.0,0.0,0.0
2018-12-03,TRX,,-0.05,0.0,-0.0279993395972916
2018-12-03,VET,,0.0,0.05,0.011999716970267828
2018-12-03,XLM,,0.05,0.0,0.0279993395972916
2018-12-03,XRP,,0.0,0.05,0.011999716970267828
2018-12-10,ADA,,-0.05,0.05,-0.015711895235037156
2018-12-10,BNB,,0.0,-0.05,-0.011783921426277868
2018-12-10,BTC,,0.05,-0.05,0.015711895235037156
2018-12-10,ETC,,0.0,0.0,0.0
2018-12-10,ETH,,0.05,0.0,0.027495816661315026
2018-12-10,LTC,,-0.05,-0.05,-0.03927973808759289
2018-12-10,TRX,,-0.05,0.0,-0.027495816661315026
2018-12-10,VET,,0.0,0.05,0.011783921426277868
2018-12-10,XLM,,0.0,0.05,0.011783921426277868
2018-12-10,XRP,,0.05,0.0,0.027495816661315026
2018-12-17,ADA,,-0.05,0.05,-0.013992999449820591
2018-12-17,BNB,,0.05,-0.05,0.013992999449820591
2018-12-17,BTC,,0.05,-0.05,0.013992999449820591
2018-12-17,ETC,,0.0,0.0,0.0
2018-12-17,ETH,,-0.05,0.0,-0.024487749037186035
2018-12-17,LTC,,0.0,-0.05,-0.010494749587365444
2018-12-17,TRX,,-0.05,0.0,-0.024487749037186035
2018-12-17,VET,,0.0,0.05,0.010494749587365444
2018-12-17,XLM,,0.0,0.05,0.010494749587365444
2018-12-17,XRP,,0.05,0.0,0.024487749037186035
2018-12-24,ADA,,-0.05,0.05,-0.012812836765595487
2018-12-24,BNB,,0.05,-0.05,0.012812836765595487
2018-12-24,BTC,,0.05,-0.05,0.012812836765595487
2018-12-24,ETC,,0.0,0.0,0.0
2018-12-24,ETH,,-0.05,0.0,-0.022422464339792104
2018-12-24,LTC,,0.0,-0.05,-0.009609627574196616
2018-12-24,TRX,,-0.05,0.0,-0.022422464339792104
2018-12-24,VET,,0.0,0.05,0.009609627574196616
2018-12-24,XLM,,0.0,0.05,0.009609627574196616
2018-12-24,XRP,,0.05,0.0,0.022422464339792104
2018-12-31,ADA,,-0.05,0.05,-0.015790327319088478
2018-12-31,BNB,,0.05,-0.05,0.015790327319088478
2018-12-31,BTC,,0.05,-0.05,0.015790327319088478
2018-12-31,ETC,,0.0,0.0,0.0
2018-12-31,ETH,,-0.05,0.0,-0.027633072808404838
2018-12-31,LTC,,0.05,-0.05,0.015790327319088478
2018-12-31,TRX,,-0.05,0.0,-0.027633072808404838
2018-12-31,VET,,0.0,0.05,0.01184274548931636
2018-12-31,XLM,,0.0,0.05,0.01184274548931636
2018-12-31,XRP,,0.0,0.0,0.0
2019-01-07,ADA,,-0.05,0.05,-0.016852971720205754
2019-01-07,BNB,,0.05,-0.05,0.016852971720205754
2019-01-07,BTC,,0.05,-0.05,0.016852971720205754
2019-01-07,ETC,,0.0,0.0,0.0
2019-01-07,ETH,,-0.05,0.0,-0.02949270051036007
2019-01-07,LTC,,0.0,-0.05,-0.012639728790154316
2019-01-07,TRX,,-0.05,0.05,-0.016852971720205754
2019-01-07,VET,,0.0,0.05,0.012639728790154316
2019-01-07,XLM,,0.05,0.0,0.02949270051036007
2019-01-07,XRP,,0.0,0.0,0.0
2019-01-14,ADA,,-0.05,0.05,-0.01669454135586313
2019-01-14,BNB,,0.0,-0.05,-0.01252090601689735
2019-01-14,BTC,,0.05,-0.05,0.01669454135586313
2019-01-14,ETC,,0.0,0.0,0.0
2019-01-14,ETH,,-0.05,0.0,-0.02921544737276048
2019-01-14,LTC,,-0.05,-0.05,-0.04173635338965783
2019-01-14,TRX,,0.0,0.05,0.01252090601689735
2019-01-14,VET,,0.05,0.05,0.04173635338965783
2019-01-14,XLM,,0.05,0.0,0.02921544737276048
2019-01-14,XRP,,0.0,0.0,0.0
2019-01-21,ADA,,0.0,0.05,0.011995193857776285
2019-01-21,BNB,,0.0,-0.05,-0.011995193857776285
2019-01-21,BTC,,0.05,-0.05,0.015993591810368378
2019-01-21,ETC,,0.0,0.0,0.0
2019-01-21,ETH,,-0.05,0.0,-0.027988785668144663
2019-01-21,LINK,,0.0,0.0,0.0
2019-01-21,LTC,,-0.05,-0.05,-0.03998397952592095
2019-01-21,TRX,,-0.05,0.05,-0.015993591810368378
2019-01-21,VET,,0.05,0.05,0.03998397952592095
2019-01-21,XLM,,0.05,0.0,0.027988785668144663
2019-01-21,XRP,,0.0,0.0,0.0
2019-01-28,ADA,,0.0,0.05,0.009286551899200227
2019-01-28,BNB,,-0.05,-0.05,-0.030955172997334086
2019-01-28,BTC,,0.05,-0.05,0.012382069198933634
2019-01-28,ETC,,0.0,0.0,0.0
2019-01-28,ETH,,0.0,0.0,0.0
2019-01-28,LINK,,0.0,0.0,0.0
2019-01-28,LTC,,-0.05,-0.05,-0.030955172997334086
2019-01-28,TRX,,-0.05,0.05,-0.012382069198933634
2019-01-28,VET,,0.0,0.05,0.009286551899200227
2019-01-28,XLM,,0.05,0.0,0.02166862109813386
2019-01-28,XRP,,0.05,0.0,0.02166862109813386
2019-02-04,ADA,,0.0,0.0,0.0
2019-02-04,BNB,,0.0,-0.05,-0.009536195040092448
2019-02-04,BTC,,0.05,-0.05,0.012714926720123261
2019-02-04,ETC,,0.05,0.05,0.031787316800308156
2019-02-04,ETH,,0.0,0.05,0.009536195040092448
