week,factor,ic
2019-04-15,BETA26,-0.09090909090909091
2019-04-15,NEWC,-0.5903098020302112
2019-04-15,SKEW52,0.17575757575757575
2019-04-15,TVLC,
2019-04-22,VOLC,0.3934065934065934
2019-04-22,MAXRET,0.09010989010989012
2019-04-22,CRASH8,-0.4755244755244756
2019-04-22,BETA26,-0.2545454545454546
2019-04-22,NEWC,-0.1718065841729719
2019-04-22,SKEW52,0.0303030303030303
2019-04-22,TVLC,
2019-04-29,VOLC,0.27912087912087913
2019-04-29,MAXRET,0.006593406593406593
2019-04-29,CRASH8,-0.3681318681318681
2019-04-29,BETA26,-0.09090909090909091
2019-04-29,NEWC,-0.2973575495301437
2019-04-29,SKEW52,-0.12727272727272726
2019-04-29,TVLC,
2019-05-06,VOLC,-0.37142857142857144
2019-05-06,MAXRET,-0.2967032967032967
2019-05-06,CRASH8,0.38461538461538464
2019-05-06,BETA26,-0.3272727272727273
2019-05-06,NEWC,0.2218250418828974
2019-05-06,SKEW52,0.11515151515151514
2019-05-06,TVLC,
2019-05-13,VOLC,0.4241758241758242
2019-05-13,MAXRET,0.4065934065934066
2019-05-13,CRASH8,-0.6043956043956044
2019-05-13,BETA26,-0.1272727272727273
2019-05-13,NEWC,-0.5885519256409134
2019-05-13,SKEW52,-0.0303030303030303
2019-05-13,TVLC,
2019-05-20,VOLC,0.2
2019-05-20,MAXRET,0.3054945054945055
2019-05-20,CRASH8,0.5252747252747253
2019-05-20,BETA26,0.1272727272727273
2019-05-20,NEWC,0.4579613767904979
2019-05-20,SKEW52,-0.7333333333333332
2019-05-20,TVLC,
2019-05-27,VOLC,-0.35
2019-05-27,MAXRET,-0.3571428571428571
2019-05-27,CRASH8,0.06813186813186813
2019-05-27,BETA26,0.02097902097902098
2019-05-27,NEWC,0.2236139535109853
2019-05-27,SKEW52,0.33333333333333326
2019-05-27,TVLC,
2019-06-03,VOLC,0.3714285714285714
2019-06-03,MAXRET,0.36428571428571427
2019-06-03,CRASH8,-0.3758241758241759
2019-06-03,BETA26,-0.31468531468531474
2019-06-03,NEWC,-0.13059054885041543
2019-06-03,SKEW52,-0.12727272727272726
2019-06-03,TVLC,
2019-06-10,VOLC,-0.1357142857142857
2019-06-10,MAXRET,-0.2071428571428571
2019-06-10,CRASH8,-0.18214285714285713
2019-06-10,BETA26,-0.44055944055944063
2019-06-10,NEWC,-0.3094817116592037
2019-06-10,SKEW52,0.11515151515151514
2019-06-10,TVLC,
2019-06-17,VOLC,0.075
2019-06-17,MAXRET,0.0
2019-06-17,CRASH8,-0.5928571428571427
2019-06-17,BETA26,-0.21428571428571427
2019-06-17,NEWC,-0.09660122791674566
2019-06-17,SKEW52,0.5151515151515151
2019-06-17,TVLC,
2019-06-24,VOLC,-0.4142857142857142
2019-06-24,MAXRET,-0.16428571428571426
2019-06-24,CRASH8,0.2642857142857143
2019-06-24,BETA26,-0.1384615384615385
2019-06-24,NEWC,-0.48306385230827004
2019-06-24,SKEW52,0.05454545454545454
2019-06-24,TVLC,
2019-07-01,VOLC,0.014285714285714282
2019-07-01,MAXRET,-0.42499999999999993
2019-07-01,CRASH8,-0.5642857142857142
2019-07-01,BETA26,-0.4945054945054946
2019-07-01,NEWC,-0.2047130349721022
2019-07-01,SKEW52,0.5393939393939393
2019-07-01,TVLC,
2019-07-08,VOLC,0.04285714285714285
2019-07-08,MAXRET,0.35357142857142854
2019-07-08,CRASH8,0.42499999999999993
2019-07-08,BETA26,-0.09010989010989012
2019-07-08,NEWC,-0.3141106658969356
2019-07-08,SKEW52,-0.5272727272727272
2019-07-08,TVLC,
2019-07-15,VOLC,0.02647058823529412
2019-07-15,MAXRET,0.044117647058823525
2019-07-15,CRASH8,0.0
2019-07-15,BETA26,0.2835164835164835
2019-07-15,NEWC,-0.38895734800518983
2019-07-15,SKEW52,-0.10000000000000002
2019-07-15,TVLC,
2019-07-22,VOLC,0.16176470588235295
2019-07-22,MAXRET,-0.0058823529411764705
2019-07-22,CRASH8,-0.1714285714285714
2019-07-22,BETA26,-0.178021978021978
2019-07-22,NEWC,-0.07975466126289381
2019-07-22,SKEW52,-0.20909090909090913
2019-07-22,TVLC,
2019-07-29,VOLC,0.04901960784313726
2019-07-29,MAXRET,-0.08333333333333334
2019-07-29,CRASH8,-0.09411764705882353
2019-07-29,BETA26,-0.16785714285714282
2019-07-29,NEWC,0.06380372901031504
2019-07-29,SKEW52,0.7363636363636363
2019-07-29,TVLC,
2019-08-05,VOLC,0.27941176470588236
2019-08-05,MAXRET,0.1593137254901961
2019-08-05,CRASH8,-0.37941176470588234
2019-08-05,BETA26,-0.17857142857142855
2019-08-05,NEWC,-0.2613498899845597
2019-08-05,SKEW52,-0.4272727272727273
2019-08-05,TVLC,
2019-08-12,VOLC,0.4093137254901961
2019-08-12,MAXRET,0.24754901960784317
2019-08-12,CRASH8,-0.07107843137254903
2019-08-12,BETA26,-0.021428571428571425
2019-08-12,NEWC,-0.30306771279899647
2019-08-12,SKEW52,0.3090909090909091
2019-08-12,TVLC,
2019-08-19,VOLC,0.37500000000000006
2019-08-19,MAXRET,-0.03676470588235294
2019-08-19,CRASH8,-0.3995098039215687
2019-08-19,BETA26,-0.38214285714285706
2019-08-19,NEWC,-0.4564420613814846
2019-08-19,SKEW52,0.16363636363636366
2019-08-19,TVLC,
2019-08-26,VOLC,-0.16666666666666669
2019-08-26,MAXRET,0.15441176470588236
2019-08-26,CRASH8,0.24509803921568632
2019-08-26,BETA26,0.4107142857142856
2019-08-26,NEWC,0.017177927041238668
2019-08-26,SKEW52,-0.09090909090909093
2019-08-26,TVLC,
2019-09-02,VOLC,-0.058823529411764705
2019-09-02,MAXRET,-0.5833333333333334
2019-09-02,CRASH8,-0.16421568627450983
2019-09-02,BETA26,0.42499999999999993
2019-09-02,NEWC,-0.08343564562887353
2019-09-02,SKEW52,-0.1398601398601399
2019-09-02,TVLC,
2019-09-09,VOLC,0.6740196078431374
2019-09-09,MAXRET,0.6348039215686275
2019-09-09,CRASH8,-0.49754901960784315
2019-09-09,BETA26,-0.2571428571428571
2019-09-09,NEWC,-0.4152894777986415
2019-09-09,SKEW52,-0.013986013986013986
2019-09-09,TVLC,
2019-09-16,VOLC,0.33333333333333337
2019-09-16,MAXRET,-0.16666666666666669
2019-09-16,CRASH8,-0.6813725490196079
2019-09-16,BETA26,-0.31764705882352945
2019-09-16,NEWC,-0.10640501545587085
2019-09-16,SKEW52,0.23076923076923078
2019-09-16,TVLC,
2019-09-23,VOLC,-0.286764705882353
2019-09-23,MAXRET,-0.45098039215686275
2019-09-23,CRASH8,-0.10049019607843139
2019-09-23,BETA26,0.11470588235294117
2019-09-23,NEWC,0.2179753229241626
2019-09-23,SKEW52,-0.4197802197802198
2019-09-23,TVLC,
2019-09-30,VOLC,-0.2776057791537668
2019-09-30,MAXRET,-0.24871001031991744
2019-09-30,CRASH8,0.1936274509803922
2019-09-30,BETA26,0.24019607843137256
2019-09-30,NEWC,0.02985075777342829
2019-09-30,SKEW52,0.006593406593406593
2019-09-30,TVLC,
2019-10-07,VOLC,0.22187822497420018
2019-10-07,MAXRET,-0.06707946336429307
2019-10-07,CRASH8,-0.5857843137254902
2019-10-07,BETA26,-0.3382352941176471
2019-10-07,NEWC,0.14661989847536835
2019-10-07,SKEW52,0.3274725274725274
2019-10-07,TVLC,
2019-10-14,VOLC,-0.03199174406604747
2019-10-14,MAXRET,0.0629514963880289
2019-10-14,CRASH8,-0.038183694530443756
2019-10-14,BETA26,-0.16666666666666669
2019-10-14,NEWC,-0.4960493571172642
2019-10-14,SKEW52,0.3142857142857143
2019-10-14,TVLC,
2019-10-21,VOLC,-0.5403508771929825
2019-10-21,MAXRET,-0.3508771929824562
2019-10-21,CRASH8,0.3931888544891641
2019-10-21,BETA26,0.6348039215686275
2019-10-21,NEWC,0.5548729092001965
2019-10-21,SKEW52,-0.15604395604395604
2019-10-21,TVLC,
2019-10-28,VOLC,0.39122807017543854
2019-10-28,MAXRET,0.2982456140350877
2019-10-28,CRASH8,-0.20123839009287925
2019-10-28,BETA26,-0.16176470588235298
2019-10-28,NEWC,-0.27389022049942763
2019-10-28,SKEW52,0.15
2019-10-28,TVLC,
2019-11-04,VOLC,-0.06842105263157894
