week,MAXRET,SKEW52,VOLC,BETA26,CRASH8,NEWC,TVLC
2020-04-13,0.4664306701832149,0.5335693298167852,0.0,0.25,0.375,0.125,0.25
2020-04-20,0.34670263121028805,0.5112639753422403,0.14203339344747154,0.25,0.375,0.125,0.25
2020-04-27,0.4344492419959636,0.24269101674409205,0.3228597412599444,0.25,0.375,0.125,0.25
2020-05-04,0.4703508532190015,0.34619852074543495,0.1834506260355635,0.25,0.375,0.125,0.25
2020-05-11,1.0,0.0,0.0,0.0,0.4,0.0,0.6
2020-05-18,,,,0.0,0.4,0.0,0.6
2020-05-25,,,,0.0,0.4,0.0,0.6
2020-06-01,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2020-06-08,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2020-06-15,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2020-06-22,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2020-06-29,0.4,0.2,0.4,0.25,0.375,0.125,0.25
2020-07-06,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.375,0.25,0.25,0.125
2020-07-13,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-07-20,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-07-27,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-08-03,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-08-10,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-08-17,0.0,1.0,0.0,0.375,0.25,0.25,0.125
2020-08-24,0.013283378746594143,0.935967302452316,0.050749318801089856,0.375,0.25,0.25,0.125
2020-08-31,0.31361821676770674,0.5646902262309627,0.12169155700133073,0.375,0.25,0.25,0.125
2020-09-07,0.4097383239483273,0.1649552832063597,0.425306392845313,0.25,0.375,0.125,0.25
2020-09-14,0.3983202650346991,0.0,0.6016797349653009,0.0,0.4,0.0,0.6
2020-09-21,0.4022974363475496,0.0,0.5977025636524503,0.0,0.4,0.0,0.6
2020-09-28,0.38397533187538013,0.0,0.6160246681246198,0.0,0.4,0.0,0.6
2020-10-05,0.3963364017471692,0.15250155501756185,0.45116204323526893,0.25,0.375,0.125,0.25
2020-10-12,0.34057247717915246,0.0,0.6594275228208476,0.0,0.4,0.0,0.6
2020-10-19,0.33100599394058444,0.14783242157926132,0.5211615844801543,0.25,0.375,0.125,0.25
2020-10-26,0.1932239362733133,0.18382588506872086,0.6229501786579659,0.25,0.375,0.125,0.25
2020-11-02,0.11019899965551597,0.0,0.8898010003444841,0.0,0.4,0.0,0.6
2020-11-09,0.022199437138063577,0.3054810034096444,0.6723195594522919,0.25,0.375,0.125,0.25
2020-11-16,0.0070242191666492985,0.0,0.9929757808333507,0.0,0.4,0.0,0.6
2020-11-23,0.0,0.07308624786735066,0.9269137521326494,0.25,0.375,0.125,0.25
2020-11-30,0.0,0.3921201568871749,0.6078798431128251,0.375,0.25,0.25,0.125
2020-12-07,0.11045801602974627,0.33756903023264306,0.5519729537376107,0.375,0.25,0.25,0.125
2020-12-14,0.09366605683229798,0.19157799891169497,0.7147559442560071,0.25,0.375,0.125,0.25
2020-12-21,0.22190157939156088,0.41310359661227386,0.3649948239961653,0.25,0.375,0.125,0.25
2020-12-28,0.14553825300088435,0.0,0.8544617469991157,0.0,0.4,0.0,0.6
2021-01-04,0.24121191831268837,0.23907766990291263,0.519710411784399,0.25,0.375,0.125,0.25
2021-01-11,0.19622833843017334,0.3360695316272332,0.46770212994259347,0.25,0.375,0.125,0.25
2021-01-18,0.1591345432728364,0.7118419079046048,0.12902354882255887,0.375,0.25,0.25,0.125
2021-01-25,0.12214162064133217,0.7558981122743383,0.12196026708432939,0.375,0.25,0.25,0.125
2021-02-01,0.0,0.9260754066272079,0.0739245933727921,0.375,0.25,0.25,0.125
2021-02-08,0.2157369452860453,0.6667260737836392,0.11753698093031544,0.375,0.25,0.25,0.125
2021-02-15,0.3917455604267255,0.4538155713192932,0.15443886825398132,0.375,0.25,0.25,0.125
2021-02-22,0.4530718286260828,0.40562925512310605,0.14129891625081115,0.375,0.25,0.25,0.125
2021-03-01,0.3525754385584896,0.340874453356655,0.30655010808485544,0.25,0.375,0.125,0.25
2021-03-08,0.2756691232834697,0.6633966551349294,0.06093422158160093,0.375,0.25,0.25,0.125
2021-03-15,0.30015153430401953,0.6326380633086883,0.0672104023872922,0.375,0.25,0.25,0.125
2021-03-22,0.3473317123318237,0.3365560411566968,0.31611224651147946,0.25,0.375,0.125,0.25
2021-03-29,0.38517130399787247,0.20338845143193188,0.4114402445701956,0.25,0.375,0.125,0.25
2021-04-05,0.41493449089428447,0.4121655913633636,0.17289991774235183,0.375,0.25,0.25,0.125
2021-04-12,0.3800030008911373,0.43477189616762396,0.18522510294123867,0.375,0.25,0.25,0.125
2021-04-19,0.36708097699144043,0.4708807882041202,0.16203823480443932,0.375,0.25,0.25,0.125
2021-04-26,0.6329860774765098,0.0,0.36701392252349024,0.375,0.25,0.25,0.125
2021-05-03,0.6481977308477527,0.0,0.35180226915224727,0.375,0.25,0.25,0.125
2021-05-10,0.5472247090420771,0.0,0.45277529095792285,0.375,0.25,0.25,0.125
2021-05-17,0.622294187830237,0.0,0.37770581216976307,0.375,0.25,0.25,0.125
2021-05-24,0.44344904815229585,0.0,0.5565509518477041,0.25,0.375,0.125,0.25
2021-05-31,0.3365758754863818,0.0,0.6634241245136182,0.25,0.375,0.125,0.25
2021-06-07,0.46596306068601595,0.0,0.534036939313984,0.25,0.375,0.125,0.25
2021-06-14,1.0,0.0,0.0,0.0,0.4,0.0,0.6
2021-06-21,0.5156281145311568,0.0,0.48437188546884324,0.0,0.4,0.0,0.6
2021-06-28,0.6896389735438326,0.0,0.31036102645616737,0.0,0.4,0.0,0.6
2021-07-05,1.0,0.0,0.0,0.0,0.4,0.0,0.6
2021-07-12,0.6097448359537287,0.17824686306147447,0.21200830098479673,0.25,0.375,0.125,0.25
2021-07-19,0.58924585579305,0.0,0.41075414420694994,0.0,0.4,0.0,0.6
2021-07-26,0.5279482868870766,0.43533299119856894,0.036718721914354296,0.25,0.375,0.125,0.25
2021-08-02,0.5528566773764955,0.44714332262350454,0.0,0.25,0.375,0.125,0.25
2021-08-09,0.5308032745842212,0.1882800234104006,0.2809167020053782,0.25,0.375,0.125,0.25
2021-08-16,0.48737314602364723,0.3555018655162086,0.15712498846014408,0.25,0.375,0.125,0.25
2021-08-23,0.3024716250407894,0.6434951564441335,0.05403321851507717,0.375,0.25,0.25,0.125
2021-08-30,0.5026875323169406,0.0976739066733717,0.3996385610096876,0.25,0.375,0.125,0.25
2021-09-06,0.08927692148546612,0.9107230785145339,0.0,0.25,0.375,0.125,0.25
2021-09-13,0.4427062259939055,0.33708582245124485,0.22020795155484968,0.25,0.375,0.125,0.25
2021-09-20,0.3540960247877815,0.24934147806579013,0.39656249714642844,0.25,0.375,0.125,0.25
2021-09-27,0.15342073316084154,0.36474295390175493,0.48183631293740353,0.25,0.375,0.125,0.25
2021-10-04,0.45078650097088885,0.0,0.5492134990291112,0.0,0.4,0.0,0.6
2021-10-11,0.28012885987722475,0.3890861382832564,0.3307850018395188,0.25,0.375,0.125,0.25
2021-10-18,0.4375425073679441,0.0,0.562457492632056,0.0,0.4,0.0,0.6
2021-10-25,,,,0.0,0.4,0.0,0.6
2021-11-01,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2021-11-08,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2021-11-15,0.0,1.0,0.0,0.25,0.375,0.125,0.25
2021-11-22,0.38847384256781703,0.16897499018873288,0.4425511672434501,0.25,0.375,0.125,0.25
2021-11-29,0.07490374518725955,0.0,0.9250962548127405,0.0,0.4,0.0,0.6
2021-12-06,0.3926270922575776,0.041723707032353764,0.5656492007100687,0.25,0.375,0.125,0.25
2021-12-13,0.41682652781584,0.0,0.5831734721841599,0.25,0.375,0.125,0.25
2021-12-20,0.4650863955831195,0.042737401478573724,0.49217620293830683,0.25,0.375,0.125,0.25
2021-12-27,0.4878020850953686,0.03490999840462558,0.4772879165000059,0.25,0.375,0.125,0.25
2022-01-03,0.4080494122335128,0.0,0.5919505877664872,0.0,0.4,0.0,0.6
2022-01-10,0.47524963467490305,0.10609684897040036,0.4186535163546966,0.25,0.375,0.125,0.25
2022-01-17,0.5584565175657518,0.0,0.4415434824342483,0.25,0.375,0.125,0.25
2022-01-24,0.46929859401064433,0.0,0.5307014059893557,0.0,0.4,0.0,0.6
2022-01-31,0.45124835742444164,0.0,0.5487516425755583,0.0,0.4,0.0,0.6
2022-02-07,0.42102999677454045,0.0,0.5789700032254596,0.0,0.4,0.0,0.6
2022-02-14,0.37221269296741005,0.0,0.62778730703259,0.0,0.4,0.0,0.6
2022-02-21,0.36898276820455816,0.0,0.6310172317954419,0.0,0.4,0.0,0.6
2022-02-28,0.4598784831342972,0.0,0.5401215168657029,0.25,0.375,0.125,0.25
2022-03-07,0.3325801526717558,0.0,0.6674198473282443,0.0,0.4,0.0,0.6
2022-03-14,0.4128145540446225,0.11415854316385822,0.4730269027915193,0.25,0.375,0.125,0.25
2022-03-21,0.47281323877068576,0.16312056737588643,0.36406619385342776,0.25,0.375,0.125,0.25
2022-03-28,0.4556251349600521,0.2528611530986826,0.29151371194126524,0.25,0.375,0.125,0.25
2022-04-04,0.4601854052769196,0.5398145947230805,0.0,0.25,0.375,0.125,0.25
2022-04-11,0.47534489823794585,0.3468105450075126,0.17784455675454167,0.25,0.375,0.125,0.25
2022-04-18,0.5228063747939186,0.47206448067411605,0.005129144531965457,0.25,0.375,0.125,0.25
2022-04-25,0.4303082079253467,0.24058618650193853,0.3291056055727147,0.25,0.375,0.125,0.25
2022-05-02,0.45569620253164567,0.0,0.5443037974683543,0.0,0.4,0.0,0.6
2022-05-09,0.34757955914664407,0.23736622014317096,0.41505422071018494,0.25,0.375,0.125,0.25
2022-05-16,0.2729930290083203,0.0,0.7270069709916797,0.0,0.4,0.0,0.6
2022-05-23,0.17939830860945524,0.0,0.8206016913905447,0.0,0.4,0.0,0.6
