week,p_RiskOn,p_Neutral,p_RiskOff,label,gross
2020-04-20,0.939155514252466,0.060844484021122046,1.726399600725756e-09,RiskOn,0.9878311025052035
2020-04-27,0.9831941661637313,0.016805823791747034,1.0044504723246277e-08,RiskOn,0.9966388312238318
2020-05-04,0.9227132988114404,0.0772848019531802,1.89923536832744e-06,RiskOn,0.9845422799152056
2020-05-11,0.09820273230603507,0.8524762375999201,0.04932103009406227,Neutral,0.8097763404424084
2020-05-18,0.06106891176301849,0.9318162522387262,0.00711483599825562,Neutral,0.8107908151529529
2020-05-25,0.052900056281765834,0.481685233153682,0.46541471056452555,Neutral,0.7174970691434268
2020-06-01,0.16312042674656435,0.8311104437106533,0.005769129542781904,Neutral,0.8314702594407563
2020-06-08,0.5284483896056548,0.4715288318608894,2.277853347476535e-05,RiskOn,0.9056851222144512
2020-06-15,0.1487025962663322,0.8512966572601695,7.464734826970056e-07,Neutral,0.8297403699585574
2020-06-22,0.0800202248531488,0.918893189720925,0.0010865854259052414,Neutral,0.815786727885432
2020-06-29,0.01205847232381696,0.9408831499258178,0.04705837775035148,Neutral,0.7930000189146822
2020-07-06,0.9306169572134548,3.5805945994381683e-09,0.06938303920593336,RiskOn,0.9722467836014905
2020-07-13,0.9999999990059223,2.7239256586063287e-18,9.940985795875272e-10,RiskOn,0.9999999996023814
2020-07-20,0.9956171869834027,0.004382813007136968,9.447934055703792e-12,RiskOn,0.9991234373947812
2020-07-27,0.9934844113658411,0.006515588605839736,2.832252744600553e-11,RiskOn,0.9986968822675064
2020-08-03,0.9999391871344341,6.0812860402206784e-05,5.15669666457628e-12,RiskOn,0.9999878374258498
2020-08-10,0.9999999999986926,3.5419446455806295e-18,1.311623910032828e-12,RiskOn,0.9999999999994795
2020-08-17,1.0,4.986128213996939e-16,6.387529607015845e-23,RiskOn,1.0000000000000004
2020-08-24,0.9960211993398898,0.003978800660121268,1.0897691086074606e-17,RiskOn,0.9992042398679868
2020-08-31,0.9999997038705016,2.295394542989132e-07,6.659005492905867e-08,RiskOn,0.999999927456098
2020-09-07,0.5030030087211883,0.49698949573578577,7.495543013562927e-06,RiskOn,0.900599102635625
2020-09-14,0.002479415513291979,0.24404770382946098,0.7534728806572359,RiskOff,0.6498013069712023
2020-09-21,0.00013063509613768048,0.0307922332657832,0.9690771316380841,RiskOff,0.6062107006916146
2020-09-28,5.256967563988919e-05,0.003704818103684523,0.9962426122206878,RiskOff,0.6007619914910002
2020-10-05,0.00043077416914969315,0.008274348139629456,0.9912948776912047,RiskOff,0.601827179295576
2020-10-12,0.0004397343652044533,0.0077488298864595165,0.9918114357483095,RiskOff,0.6017256597233578
2020-10-19,0.012829530057542789,0.04591045203761718,0.9412600179048595,RiskOff,0.6143139024305523
2020-10-26,0.004362067620725359,0.8635122245946564,0.1321257077846391,Neutral,0.774447271967234
2020-11-02,0.0021375537749399242,0.9274150175830138,0.07044742864206738,Neutral,0.7863380250265914
2020-11-09,0.9526015031947502,0.04638079702014062,0.0010176997850918715,RiskOn,0.9903167606819179
2020-11-16,0.2919287580288526,0.7080712419710784,7.514648396694981e-14,Neutral,0.8583857516057605
2020-11-23,0.036037000176690336,0.9635613415197102,0.0004016583036171655,Neutral,0.8071270683746289
2020-11-30,0.7776873682994078,0.2223126315039032,1.9672988863082382e-10,RiskOn,0.9555374736205683
2020-12-07,0.4730293632919089,0.5269667463979018,3.890310146929297e-06,Neutral,0.8946050945963185
2020-12-14,0.12665390833607215,0.8731516199488788,0.0001944717150145161,Neutral,0.8252918873241839
2020-12-21,0.007963683310794481,0.9622310707024414,0.029805245986777355,Neutral,0.795631687464814
2020-12-28,0.0036515908552558897,0.9963483814907172,2.7654038599597576e-08,Neutral,0.800730312640253
2021-01-04,0.9982440026756559,0.001755997324390885,4.248365683753746e-21,RiskOn,0.9996488005351687
2021-01-11,0.9998636741713589,0.0001363258286278459,7.218482080633724e-20,RiskOn,0.9999727348342612
2021-01-18,1.0,1.4208277740559426e-42,1.7709758840721767e-14,RiskOn,1.0000000000000107
2021-01-25,0.9999987747425624,1.2252572917594704e-06,1.8103484826126293e-13,RiskOn,0.9999997549485043
2021-02-01,1.0,2.1891978902835027e-143,3.766289626557341e-45,RiskOn,1.0
2021-02-08,1.0,1.944611594844126e-24,2.3684993776010707e-15,RiskOn,1.0000000000000013
2021-02-15,0.9998842803069002,0.00011571969308728777,1.796754305911824e-20,RiskOn,0.9999768560613701
2021-02-22,0.999670625807567,0.00032937419247600167,6.067648133192445e-18,RiskOn,0.9999341251615479
2021-03-01,0.8392255535059452,0.16077444081793418,5.676173898510891e-09,RiskOn,0.9678451095659969
2021-03-08,0.9445296271228673,0.05547036907000786,3.807074388042814e-09,RiskOn,0.9889059246631182
2021-03-15,0.9999999993657411,6.342817149936616e-10,2.8669521411892107e-38,RiskOn,0.9999999998731665
2021-03-22,0.18743968578677753,0.8125603141724286,4.076762354369811e-11,Neutral,0.8374879371491809
2021-03-29,0.0883041279806705,0.9112458683730932,0.0004500036462648086,Neutral,0.817570824866904
2021-04-05,0.08472960012190055,0.9152528480038162,1.75518742505016e-05,Neutral,0.8169424096495039
2021-04-12,0.08172724168203135,0.9182727354306947,2.288724531327362e-08,Neutral,0.8163454437589343
2021-04-19,0.9997089237991048,0.000291076200896442,1.6199910577270991e-24,RiskOn,0.999941784759822
2021-04-26,0.31832495984710646,0.6816750396674969,4.85453442889434e-10,Neutral,0.863664991872376
2021-05-03,0.09767903562939671,0.9023204165230923,5.478475334545513e-07,Neutral,0.8195356975563907
2021-05-10,0.15154607668884457,0.8484539073276357,1.598346459143971e-08,Neutral,0.8303092121410319
2021-05-17,0.013047910044329604,0.9869447312791084,7.3586765738133846e-06,Neutral,0.8026081102735607
2021-05-24,0.00019260009531666685,0.14661203385425772,0.8531953660504067,RiskOff,0.6293994468089668
2021-05-31,5.613156838668999e-07,0.0008079372949587917,0.9991915013893699,RiskOff,0.6001618119852729
2021-06-07,2.181066958874025e-10,6.301093071894364e-05,0.9999369888512045,RiskOff,0.6000126022734045
2021-06-14,2.325444762708938e-10,0.00011574054177968321,0.9998842592256615,RiskOff,0.600023148201365
2021-06-21,8.4844694599058e-09,0.005244894450289496,0.9947550970651923,RiskOff,0.6010489822838164
2021-06-28,1.763236104828822e-08,0.00018958957151839065,0.9998103927960851,RiskOff,0.6000379249672267
2021-07-05,3.7239283999098195e-10,0.00017451562500720377,0.9998254840025718,RiskOff,0.6000349032739416
2021-07-12,9.446487401503411e-10,0.0005120817494671757,0.9994879173059221,RiskOff,0.6001024167277758
2021-07-19,2.310970944031874e-09,0.0003598631303278446,0.99964013455866,RiskOff,0.6000719735504292
2021-07-26,4.357289902186186e-08,0.009323691571688292,0.9906762648553752,RiskOff,0.6018647557434748
2021-08-02,6.972362111358966e-07,0.0061159969845533645,0.993883305779264,RiskOff,0.6012234782914122
2021-08-09,4.342619950787703e-06,0.037613340244690076,0.9623823171353952,RiskOff,0.60752440509694
2021-08-16,0.004444913834850476,0.979732137043405,0.015822949121732096,Neutral,0.7977243929426138
2021-08-23,0.0426078340906702,0.9573664729753629,2.569293394345328e-05,Neutral,0.8085164282313266
2021-08-30,0.009023476096334764,0.9881815450955697,0.0027949788080880965,Neutral,0.8012456994576435
2021-09-06,0.013535119295400787,0.9862157874144236,0.0002490932901772079,Neutral,0.802657205201046
2021-09-13,0.005671689260845919,0.9872189617357752,0.007109349003336134,Neutral,0.7997124680514678
2021-09-20,0.0011167830204267776,0.5760711105783896,0.4228121064012131,Neutral,0.7156609353238663
2021-09-27,3.592299352210867e-05,0.02530805751627365,0.9746560194902484,RiskOff,0.60507598070069
2021-10-04,2.3333151736338146e-07,0.0008233022548871103,0.999176464413558,RiskOff,0.6001647537835618
2021-10-11,0.00014021423725716056,0.8189512985405608,0.1809084872221348,Neutral,0.7638463454029868
2021-10-18,0.00023928696421439874,0.08406278792214898,0.9156979251135968,RiskOff,0.6169082723700916
2021-10-25,3.1067397477788584e-05,0.05109539814832295,0.9488735344541526,RiskOff,0.6102315065886277
2021-11-01,2.1984781353362814e-05,0.031374759510822414,0.9686032557078524,RiskOff,0.6062837458147228
2021-11-08,2.6644684012426226e-05,0.07010108952536177,0.9298722657906378,RiskOff,0.6140308757786845
2021-11-15,6.013289615467707e-05,0.08649978883244522,0.9134400782713692,RiskOff,0.6173240109249324
2021-11-22,3.741322688450585e-06,0.007279533907870197,0.9927167247694691,RiskOff,0.601457403310666
2021-11-29,8.508958759053802e-08,0.000931648732907837,0.9990682661774856,RiskOff,0.6001863637824052
2021-12-06,1.0389873347831759e-09,7.950248902507561e-05,0.9999204964719518,RiskOff,0.6000159009133784
2021-12-13,8.474486426154436e-11,7.493817518604005e-05,0.9999250617400471,RiskOff,0.600014987668922
2021-12-20,1.0599876748161484e-10,0.00012669906898781777,0.9998733008250612,RiskOff,0.6000253398562257
2021-12-27,4.569783409651208e-09,0.0032740870439193683,0.9967259083862937,RiskOff,0.6006548192366952
2022-01-03,4.3954143407624243e-07,0.00810416650446963,0.9918953939540928,RiskOff,0.6016210091174654
2022-01-10,1.805228552996038e-07,0.001994244022245276,0.9980055754549306,RiskOff,0.6003989210136098
2022-01-17,2.665951421407112e-07,0.009617356945189288,0.99038237645971,RiskOff,0.6019235780271195
2022-01-24,9.734361738913227e-09,6.722026586256819e-05,0.9999327699998164,RiskOff,0.6000134479469416
2022-01-31,1.3897408956888412e-10,0.00010065885739003993,0.9998993410035866,RiskOff,0.6000201318270381
2022-02-07,3.748017361863378e-09,0.0024465827516962136,0.9975534135003067,RiskOff,0.6004893180495583
2022-02-14,2.462420225199119e-08,0.0006782716811999475,0.9993217036945417,RiskOff,0.6001356641858872
2022-02-21,1.0287021858019605e-07,0.008733906348502345,0.9912659907812276,RiskOff,0.6017468224177569
2022-02-28,1.1943198997687646e-06,0.009820378540633303,0.9901784271394422,RiskOff,0.6019645534360716
2022-03-07,6.184798376856238e-08,0.0006874684192325638,0.9993124697327398,RiskOff,0.6001375184230137
2022-03-14,1.543227586574082e-08,0.002282857069158938,0.9977171274985454,RiskOff,0.6004565775867302
2022-03-21,2.0170273168147113e-06,0.041643543454148176,0.958354439518555,RiskOff,0.6083295155017684
2022-03-28,0.0038385933483988392,0.8696363056669605,0.12652510098461664,Neutral,0.7754626984727373
2022-04-04,0.031712860559770635,0.9678894147258056,0.00039772471439418407,Neutral,0.8062630271690516
2022-04-11,0.010839348284530684,0.9849247404797958,0.004235911235671484,Neutral,0.8013206874097704
2022-04-18,0.004323884066572882,0.9445959361185338,0.051080179814875684,Neutral,0.7906487408503253
2022-04-25,0.00019700634828075268,0.1485223148017423,0.8512806788500197,RiskOff,0.6297832654996864
2022-05-02,1.768796072247795e-07,0.00029524489675011195,0.9997045782236953,RiskOff,0.6000591197312244
2022-05-09,1.7771457321135836e-09,0.0008104197396458155,0.9991895784831877,RiskOff,0.600162084658775
2022-05-16,6.415187947532411e-10,9.102167430406963e-05,0.9999089776842196,RiskOff,0.6000182045914938
2022-05-23,7.11794785730957e-11,7.553224121061423e-05,0.9999244676875709,RiskOff,0.6000151064766905
2022-05-30,1.057083617682052e-10,0.00013941547687574798,0.9998605844173741,RiskOff,0.6000278831376334
2022-06-06,9.010970361239091e-10,0.0005945384191752818,0.9994054606797544,RiskOff,0.6001189080442899
2022-06-13,4.4571553506331295e-09,0.0006458463684218278,0.999354149174439,RiskOff,0.6001291710565562
2022-06-20,1.5759325564491112e-08,0.0034176167945941605,0.9965823674461326,RiskOff,0.6006835296626805
2022-06-27,4.614953388645037e-06,0.13738747836333567,0.862607906683313,RiskOff,0.627479341654045
2022-07-04,1.9836840816787433e-05,0.03141547278131795,0.9685646903778624,RiskOff,0.6062910292925886
2022-07-11,0.0011273028757935307,0.9821353960638688,0.01673730106034056,Neutral,0.796878000363093
2022-07-18,0.008608207680122595,0.9908191989665374,0.0005725933533091143,Neutral,0.801607122865338
2022-07-25,0.007445595447519271,0.9910478580493142,0.0015065465031240334,Neutral,0.8011878097888451
2022-08-01,0.11308669833280714,0.8869132301841123,7.148304189998476e-08,Neutral,0.8226173253699222
2022-08-08,0.061040721134475354,0.9389556200312876,3.6588341997774247e-06,Neutral,0.8122074124600253
2022-08-15,0.05572213017613036,0.9442730222457083,4.847578105185219e-06,Neutral,0.8111434565195602
2022-08-22,0.006560726605171072,0.9858343942721076,0.007604879122693979,Neutral,0.7997911694964736
2022-08-29,0.0012707107736289885,0.7744277316704421,0.2243015575559186,Neutral,0.7553938306435338
2022-09-05,0.0011573763349373635,0.7119507406150182,0.2868918830500769,Neutral,0.7428530986569981
2022-09-12,0.0009277532736473737,0.5246741944169487,0.4743980523094562,Neutral,0.7053059401928801
2022-09-19,0.0008828520006150404,0.44088417809559816,0.5582329699037349,RiskOff,0.6885299764193346
2022-09-26,0.0064604118505250385,0.9903499021539521,0.0031896859955396852,Neutral,0.8006541451710106
2022-10-03,0.01340599058473298,0.9861044641837365,0.0004895452315022407,Neutral,0.8025832890706236
2022-10-10,0.0032330912682323482,0.8942246830630863,0.10254222566867076,Neutral,0.7801381731199039
2022-10-17,0.003588735486262093,0.9675833501090289,0.028827914404737535,Neutral,0.7949521642163276
2022-10-24,0.006626163767247886,0.9684185640060318,0.024955272226738597,Neutral,0.7963341783081165
2022-10-31,0.9963806175910461,0.003619382408959798,1.2550801203091872e-19,RiskOn,0.9992761235182139
2022-11-07,0.1684316815816959,0.8315260599438246,4.225847442862939e-05,Neutral,0.8336778846214128
2022-11-14,0.004629060498667692,0.9576371559735044,0.03773378352786987,Neutral,0.7933790553941932
2022-11-21,0.0008059754338524505,0.47301410224488644,0.5261799223212466,RiskOff,0.6949252106225096
2022-11-28,0.00015238145470352767,0.1301663242037393,0.8696812943415558,RiskOff,0.6260942174226285
2022-12-05,5.502481241552031e-05,0.05342037875606386,0.9465245964314752,RiskOff,0.6107060856761517
2022-12-12,0.07124924863557924,0.9287401209850584,1.0630379311619349e-05,Neutral,0.814247723651213
2022-12-19,0.005929172370862871,0.9348780270271464,0.05919280060200474,Neutral,0.7893472743537829
2022-12-26,0.003937455318838198,0.6911583090630227,0.30490423561817587,Neutral,0.7398066439401618
2023-01-02,0.0005660099754641806,0.17083720805579716,0.8285967819687603,RiskOff,0.634393845601358
2023-01-09,0.027412467225059738,0.9722586188774172,0.00032891389752343514,Neutral,0.8054167106655076
2023-01-16,0.9999966809253295,3.3190747062383284e-06,6.673510038964634e-30,RiskOn,0.9999993361850944
2023-01-23,0.9968796459557799,0.0031203540441731327,1.597386698644792e-17,RiskOn,0.9993759291911184
2023-01-30,0.9803356944634599,0.019664305211309765,3.251833815557984e-10,RiskOn,0.9960671388276178
2023-02-06,0.9726382308728654,0.02736176896834072,1.5880663968005294e-10,RiskOn,0.994527646142822
2023-02-13,0.1328691424765144,0.8655791577188221,0.0015516998046993292,Neutral,0.8262634885343917
2023-02-20,0.9999955567212544,4.443278766750217e-06,4.650789120729483e-30,RiskOn,0.9999991113442678
2023-02-27,0.09558797421857053,0.9044115041351742,5.21646235931162e-07,Neutral,0.8191174905144516
2023-03-06,0.0058607082830377695,0.861866132084264,0.1322731596327145,Neutral,0.7747175097300777
2023-03-13,0.0019017095348573992,0.6757641749666328,0.3223341154984545,Neutral,0.7359135188072363
2023-03-20,0.0034465572916887255,0.5640635770949175,0.432489865613418,Neutral,0.7141913383356735
2023-03-27,0.000918016512528519,0.2351523760305183,0.763929607456969,RiskOff,0.6473976818111246
2023-04-03,0.0019197720778912908,0.40435987122704764,0.5937203566951021,RiskOff,0.6816398830765907
2023-04-10,0.010565807801630647,0.8861219308032573,0.10331226139506748,Neutral,0.781450709281277
2023-04-17,0.01565444053242337,0.9839242554927935,0.00042130397481305524,Neutral,0.803046627311546
2023-04-24,0.004082292555473415,0.9803436912510599,0.015574016193487278,Neutral,0.7977016552724138
