week,factor,ic
2019-12-09,RMOM2w,-0.23909774436090225
2019-12-09,SMBC,0.24155844155844156
2019-12-09,NetRel,
2019-12-09,MomC,0.025563909774436087
2019-12-09,NetMom,
2019-12-09,FunC,
2019-12-16,VolC,0.3669172932330827
2019-12-16,MAXRET,0.14887218045112782
2019-12-16,CRASH8,-0.15939849624060148
2019-12-16,BETA26,-0.17440660474716205
2019-12-16,TVLC,
2019-12-16,SKEW52,0.02941176470588235
2019-12-16,NEWC,-0.4132554478629261
2019-12-16,RMOM1w,-0.09624060150375939
2019-12-16,RMOM2w,0.025563909774436087
2019-12-16,SMBC,-0.36233766233766235
2019-12-16,NetRel,
2019-12-16,MomC,0.05454545454545454
2019-12-16,NetMom,
2019-12-16,FunC,
2019-12-23,VolC,0.38051948051948054
2019-12-23,MAXRET,0.2922077922077922
2019-12-23,CRASH8,-0.4781954887218045
2019-12-23,BETA26,-0.2614035087719298
2019-12-23,TVLC,
2019-12-23,SKEW52,-0.2647058823529412
2019-12-23,NEWC,-0.04093568115623325
2019-12-23,RMOM1w,0.4090909090909091
2019-12-23,RMOM2w,-0.0025974025974025974
2019-12-23,SMBC,0.045454545454545456
2019-12-23,NetRel,
2019-12-23,MomC,0.3038961038961039
2019-12-23,NetMom,
2019-12-23,FunC,
2019-12-30,VolC,0.11038961038961038
2019-12-30,MAXRET,-0.2909090909090909
2019-12-30,CRASH8,-0.16691729323308271
2019-12-30,BETA26,-0.5719298245614035
2019-12-30,TVLC,
2019-12-30,SKEW52,0.24754901960784317
2019-12-30,NEWC,-0.3099415858971946
2019-12-30,RMOM1w,0.3103896103896104
2019-12-30,RMOM2w,0.5142857142857142
2019-12-30,SMBC,-0.3844155844155844
2019-12-30,NetRel,
2019-12-30,MomC,0.612987012987013
2019-12-30,NetMom,
2019-12-30,FunC,
2020-01-06,VolC,-0.2636363636363636
2020-01-06,MAXRET,-0.6610389610389611
2020-01-06,CRASH8,-0.274025974025974
2020-01-06,BETA26,-0.531578947368421
2020-01-06,TVLC,
2020-01-06,SKEW52,0.24754901960784317
2020-01-06,NEWC,-0.24951272323799317
2020-01-06,RMOM1w,0.7155844155844155
2020-01-06,RMOM2w,0.7961038961038961
2020-01-06,SMBC,-0.33506493506493507
2020-01-06,NetRel,
2020-01-06,MomC,0.7727272727272727
2020-01-06,NetMom,
2020-01-06,FunC,
2020-01-13,VolC,-0.29480519480519485
2020-01-13,MAXRET,-0.21428571428571425
2020-01-13,CRASH8,0.01818181818181818
2020-01-13,BETA26,0.2263157894736842
2020-01-13,TVLC,
2020-01-13,SKEW52,0.13480392156862747
2020-01-13,NEWC,-0.030539317687983538
2020-01-13,RMOM1w,0.3051948051948052
2020-01-13,RMOM2w,0.22077922077922077
2020-01-13,SMBC,0.05584415584415584
2020-01-13,NetRel,
2020-01-13,MomC,0.24285714285714283
2020-01-13,NetMom,
2020-01-13,FunC,
2020-01-20,VolC,-0.1935064935064935
2020-01-20,MAXRET,-0.35454545454545455
2020-01-20,CRASH8,-0.21428571428571425
2020-01-20,BETA26,-0.03609022556390977
2020-01-20,TVLC,
2020-01-20,SKEW52,-0.04411764705882353
2020-01-20,NEWC,-0.3164393130648507
2020-01-20,RMOM1w,0.36883116883116884
2020-01-20,RMOM2w,0.30129870129870134
2020-01-20,SMBC,-0.1012987012987013
2020-01-20,NetRel,
2020-01-20,MomC,0.3649350649350649
2020-01-20,NetMom,
2020-01-20,FunC,
2020-01-27,VolC,0.16623376623376623
2020-01-27,MAXRET,0.36233766233766235
2020-01-27,CRASH8,0.4285714285714285
2020-01-27,BETA26,-0.18796992481203004
2020-01-27,TVLC,
2020-01-27,SKEW52,-0.10784313725490197
2020-01-27,NEWC,0.44379476555090963
2020-01-27,RMOM1w,-0.16363636363636364
2020-01-27,RMOM2w,-0.22597402597402597
2020-01-27,SMBC,0.3038961038961039
2020-01-27,NetRel,
2020-01-27,MomC,-0.5610389610389611
2020-01-27,NetMom,
2020-01-27,FunC,
2020-02-03,VolC,0.24025974025974026
2020-02-03,MAXRET,0.3090909090909091
2020-02-03,CRASH8,0.24545454545454545
2020-02-03,BETA26,0.07969924812030074
2020-02-03,TVLC,
2020-02-03,SKEW52,-0.232843137254902
2020-02-03,NEWC,-0.12930477063635581
2020-02-03,RMOM1w,0.5597402597402598
2020-02-03,RMOM2w,0.6428571428571428
2020-02-03,SMBC,-0.15844155844155844
2020-02-03,NetRel,
2020-02-03,MomC,-0.23636363636363636
2020-02-03,NetMom,
2020-02-03,FunC,
2020-02-10,VolC,0.059740259740259746
2020-02-10,MAXRET,0.12207792207792208
2020-02-10,CRASH8,-0.2
2020-02-10,BETA26,-0.1609022556390977
2020-02-10,TVLC,
2020-02-10,SKEW52,-0.3504901960784314
