week,symbol,cluster_id,signal,side,w
2025-03-03,NEXO,,-0.33711620655932234,-1,-0.016969462910663622
2025-03-03,PENGU,,0.5740040810833665,1,0.10586776391351167
2025-03-03,PEPE,,0.41565394796554955,1,0.0573770666273086
2025-03-03,POL,,0.3020871379443662,1,0.020920065448237667
2025-03-03,QNT,,0.002706846476500475,0,0.0
2025-03-03,RENDER,,0.22869730591923762,1,0.0051526382171218936
2025-03-03,SHIB,,0.07661170804390763,0,0.0
2025-03-03,SOL,,-0.05632222128876011,0,0.0
2025-03-03,STX,,-0.030455152653022816,0,0.0
2025-03-03,SUI,,0.07885208068264199,0,0.0
2025-03-03,TAO,,0.005338302798461198,0,0.0
2025-03-03,TON,,-0.10980398029973594,0,0.0
2025-03-03,TRUMP,,0.3156836083783467,1,0.015768286323287622
2025-03-03,TRX,,-0.11123881033718376,-1,-3.223327306593677e-08
2025-03-03,UNI,,-0.016321261049953486,0,0.0
2025-03-03,VET,,0.08673745240782478,0,0.0
2025-03-03,WLD,,0.2783270395032849,1,0.013624410170037514
2025-03-03,XLM,,0.5114370075889638,1,0.10426920191875817
2025-03-03,XRP,,-0.006847021075833331,0,0.0
2025-03-03,ZEC,,-0.11711953300068301,-1,-0.00012113900497462349
2025-03-10,AAVE,,-0.36524674436880356,-1,-0.03784033262720276
2025-03-10,ADA,,-0.7392858892549005,-1,-0.02076998708759554
2025-03-10,ALGO,,-0.0126118418111977,0,0.0
2025-03-10,APT,,-0.04398110989703365,0,0.0
2025-03-10,ARB,,0.22997468844143037,1,0.028255665399761848
2025-03-10,ATOM,,-0.14580998171324103,-1,-0.002766783226190142
2025-03-10,AVAX,,0.22553758447999425,1,0.021576840580105092
2025-03-10,BCH,,-0.02462017851143487,0,0.0
2025-03-10,BNB,,-0.08848747042844204,-1,-3.497126305094352e-08
2025-03-10,BONK,,0.36207027859475066,1,0.09509794651373128
2025-03-10,BTC,,-0.21287112176311876,-1,-0.015564388995485585
2025-03-10,CAKE,,-0.04649042320329699,0,0.0
2025-03-10,CHZ,,0.00353067810133587,0,0.0
2025-03-10,DASH,,0.04052980045694826,0,0.0
2025-03-10,DEXE,,-0.1549908043978597,-1,-0.011651952920963748
2025-03-10,DOGE,,0.24802803943974902,1,0.033552280459318636
2025-03-10,DOT,,0.10696894441051712,0,0.0
2025-03-10,ENA,,0.010612784904306713,0,0.0
2025-03-10,ETC,,-0.14715774661830291,-1,-0.006715799627733837
2025-03-10,ETH,,-0.1260663917301284,-1,-0.002912457272124028
2025-03-10,FET,,0.1802428847198988,1,0.00664929012414929
2025-03-10,FIL,,0.08510273541029956,0,0.0
2025-03-10,HBAR,,-0.34117679437990905,-1,-0.012297075715164361
2025-03-10,ICP,,0.05943001088765548,0,0.0
2025-03-10,JST,,-0.8492215499489053,-1,-0.065
2025-03-10,JUP,,0.28071315997480484,1,0.03392564690923487
2025-03-10,LINK,,-0.000688794989080207,0,0.0
2025-03-10,LTC,,-0.12281876234452503,-1,-0.002174165797167177
2025-03-10,LUNC,,0.017877740609854698,0,0.0
2025-03-10,NEAR,,0.0360693513364657,0,0.0
2025-03-10,NEXO,,-0.07266229168572091,0,0.0
2025-03-10,PENGU,,0.2847656434331132,1,0.03119663887678231
2025-03-10,PEPE,,0.18795293136970498,1,0.0062016716818507
2025-03-10,POL,,0.28792064131291134,1,0.06313111948408945
2025-03-10,QNT,,0.062046120090353575,0,0.0
2025-03-10,RENDER,,0.13504899476918147,1,2.1728485161018148e-11
2025-03-10,SHIB,,0.033964166330609974,0,0.0
2025-03-10,SOL,,0.08041640485906865,0,0.0
2025-03-10,STX,,0.11688813971730622,0,0.0
2025-03-10,SUI,,0.11700365559181765,0,0.0
2025-03-10,TAO,,-0.20668411248666851,-1,-0.004896682202574006
2025-03-10,TON,,-0.3428967461038511,-1,-0.01124393912891266
2025-03-10,TRUMP,,0.33029112030495034,1,0.062129566218374406
2025-03-10,TRX,,-0.11735966920814027,-1,-0.00465380486020272
2025-03-10,UNI,,0.2121058531359651,1,0.027384184533132235
2025-03-10,VET,,0.13980554383729557,1,0.00014122321010949876
2025-03-10,WLD,,0.19284419378764697,1,0.007658618549538468
2025-03-10,XLM,,0.2963795363303617,1,0.0653587753901299
2025-03-10,XRP,,-0.06619326110981712,0,0.0
2025-03-10,ZEC,,-0.13679994068392204,-1,-0.0021274373135569424
2025-03-17,AAVE,,-0.29411316197757303,-1,-0.007530591155447518
2025-03-17,ADA,,-0.38616630149763814,-1,-0.005071384148913429
2025-03-17,ALGO,,0.13357631530267608,0,0.0
2025-03-17,APT,,-0.006029703899370128,0,0.0
2025-03-17,ARB,,0.23563139720546883,1,0.010461018103172508
2025-03-17,ATOM,,-0.12871618801990525,0,0.0
2025-03-17,AVAX,,0.10611440485683152,0,0.0
2025-03-17,BCH,,-0.4236359993009311,-1,-0.03471668306473646
2025-03-17,BNB,,-0.5157099863299979,-1,-0.03198814555224778
2025-03-17,BONK,,0.3060539795346698,1,0.017726716823069342
2025-03-17,BTC,,-0.5573627946500985,-1,-0.03796510539511115
2025-03-17,CAKE,,-0.1544250379034108,-1,-0.0001002016735946101
2025-03-17,CHZ,,-0.053406921769570605,0,0.0
2025-03-17,DASH,,-0.034719648078876175,0,0.0
2025-03-17,DEXE,,-0.33182683166940197,-1,-0.026294697247984413
2025-03-17,DOGE,,0.281423059545027,1,0.023061064194588213
2025-03-17,DOT,,0.17722145153504876,1,0.00026662132880947437
2025-03-17,ENA,,0.18883440952828975,1,0.0015114647890191013
2025-03-17,ETC,,-0.30947916995629826,-1,-0.014895297082989265
2025-03-17,ETH,,-0.2905974167268532,-1,-0.009182839418238239
2025-03-17,FET,,0.12664706427722539,0,0.0
2025-03-17,FIL,,0.0549134909760275,0,0.0
2025-03-17,HBAR,,-0.14785016290760375,-1,-1.031896814311075e-08
2025-03-17,ICP,,0.029454658946546756,0,0.0
2025-03-17,JST,,-0.5106978909978579,-1,-0.047389237995428005
2025-03-17,JUP,,0.34950309337993857,1,0.03361491237444565
2025-03-17,LINK,,-0.11792404672947979,0,0.0
2025-03-17,LTC,,-0.2641115928372119,-1,-0.006368588838797875
2025-03-17,LUNC,,-0.053973147551803005,0,0.0
2025-03-17,NEAR,,0.009674045287924562,0,0.0
2025-03-17,NEXO,,-0.2044102165552879,-1,-0.003728537212874679
2025-03-17,PENGU,,0.6880008218117791,1,0.2
2025-03-17,PEPE,,0.40783554001612754,1,0.0628575600343215
2025-03-17,POL,,0.34931112716980883,1,0.0590438886154678
2025-03-17,QNT,,0.03862048631964757,0,0.0
2025-03-17,RENDER,,0.23245954653360956,1,0.006464696610993523
2025-03-17,SHIB,,-0.021006666464892115,0,0.0
2025-03-17,SOL,,-0.05892474843359404,0,0.0
2025-03-17,STX,,0.01263170138932382,0,0.0
2025-03-17,SUI,,0.16804509618126517,1,2.0386078620138786e-11
2025-03-17,TAO,,0.2040424867121314,1,0.002606588334004852
2025-03-17,TON,,-0.2689379857755014,-1,-0.003611233731352035
2025-03-17,TRUMP,,0.36890782691697305,1,0.04770934446989139
2025-03-17,TRX,,-0.1207511755409643,0,0.0
2025-03-17,UNI,,0.07068922356719397,0,0.0
2025-03-17,VET,,0.13121713728760442,0,0.0
2025-03-17,WLD,,0.2569175757569738,1,0.012760502276562011
2025-03-17,XLM,,0.5670452093640229,1,0.2
2025-03-17,XRP,,0.003697556868288992,0,0.0
2025-03-17,ZEC,,-0.2436919106963036,-1,-0.0033491176706516037
2025-03-24,AAVE,,-0.552249601538321,-1,-0.022241272040950343
2025-03-24,ADA,,0.3200790706161652,1,0.03961405495649647
2025-03-24,ALGO,,0.27796825069857095,1,0.02671165098450949
2025-03-24,APT,,-0.02241926569114918,0,0.0
2025-03-24,ARB,,0.07099936692682454,0,0.000947142876542793
2025-03-24,ATOM,,-0.36790294636866844,-1,-0.009389361711494357
2025-03-24,AVAX,,0.17732292179451445,1,0.00033565999123238305
2025-03-24,BCH,,-0.42628077186542906,-1,-0.03449823953570858
2025-03-24,BNB,,-0.21177930459020253,-1,-0.012363161980057762
2025-03-24,BONK,,-0.3504909900038123,-1,-0.003954909501343355
2025-03-24,BTC,,-0.2501786045569343,-1,-0.01583482608633057
2025-03-24,CAKE,,-0.9596995510293089,-1,-0.01614607782949712
2025-03-24,CHZ,,-0.044160210477865794,0,0.0
2025-03-24,DASH,,0.0056107343599897915,0,0.0
2025-03-24,DEXE,,0.2740114016519194,1,0.06959928066696894
2025-03-24,DOGE,,0.29721061503222646,1,0.03635135592418873
2025-03-24,DOT,,0.0034492517711866445,0,2.4139953666620968e-05
2025-03-24,ENA,,0.2241697606712877,1,0.013518473362500323
2025-03-24,ETC,,-0.18224057013345374,-1,-0.010383214554539947
2025-03-24,ETH,,-0.09460815528290452,-1,-0.002302853175872599
2025-03-24,FET,,0.14080205620809852,0,0.0
2025-03-24,FIL,,-0.07170310175471413,-1,-0.0003714690363199214
2025-03-24,HBAR,,0.1616274985222118,0,-9.342816419613446e-10
2025-03-24,ICP,,-0.007432901709974156,0,0.0
2025-03-24,JST,,-0.5707632261959907,-1,-0.05542802141144536
2025-03-24,JUP,,0.24343064296725297,1,0.011733097697218805
2025-03-24,LINK,,-0.08458905090329154,-1,-0.0009062079793217755
2025-03-24,LTC,,0.006606885717063593,0,-0.0005766134321541841
2025-03-24,LUNC,,-0.0232640528874786,0,0.0
2025-03-24,NEAR,,-0.002308573858558732,0,0.0
2025-03-24,NEXO,,-0.17642576023249357,-1,-0.006589695329320403
2025-03-24,PENGU,,0.2184427942274998,1,0.02223215758867958
2025-03-24,PEPE,,0.13684797925034375,0,0.005691137290481645
2025-03-24,POL,,0.4207219425930787,1,0.14044707348455107
2025-03-24,QNT,,0.05224484030809376,0,0.0
2025-03-24,RENDER,,0.14797701529105367,0,0.0005853150509562673
2025-03-24,SHIB,,-0.059117794496365866,0,0.0
2025-03-24,SOL,,0.16702977099457209,1,2.1022192620980846e-11
2025-03-24,STX,,0.14551767488366232,0,0.0
2025-03-24,SUI,,0.3038723443176744,1,0.0378394772042812
2025-03-24,TAO,,0.0924119442666005,0,0.0002360010802278916
2025-03-24,TON,,-0.3649973138699018,-1,-0.008165881942006837
2025-03-24,TRUMP,,0.22981108539150247,1,0.011525087712254072
2025-03-24,TRX,,0.1838829623006056,1,0.001722110705030811
2025-03-24,UNI,,-0.007221079067309314,0,0.0
2025-03-24,VET,,0.076351263951925,0,0.0
2025-03-24,WLD,,0.2098340135794854,1,0.005141966115721626
2025-03-24,XLM,,0.33069419801456773,1,0.07327745112412867
